Team,Down,Distance Bucket,Play Type,2022 %,2023 %,2024 %,2022→2023 Change,2023→2024 Change
CHI,1,long,Run,58.6%,54.5%,50.7%,-4.1 %,-3.8 %
CHI,1,medium,Pass,27.3%,33.3%,15.4%,6.1 %,-17.9 %
CHI,1,medium,Run,72.7%,66.7%,84.6%,-6.1 %,17.9 %
CHI,1,short,Pass,0.0%,30.8%,40.0%,30.8 %,9.2 %
CHI,1,short,Run,100.0%,69.2%,60.0%,-30.8 %,-9.2 %
CHI,1,very long,Pass,35.0%,57.9%,66.7%,22.9 %,8.8 %
CHI,1,very long,Run,65.0%,42.1%,33.3%,-22.9 %,-8.8 %
CHI,2,long,Pass,41.0%,44.5%,63.6%,3.5 %,19.1 %
CHI,2,long,Run,59.0%,55.5%,36.4%,-3.5 %,-19.1 %
CHI,2,medium,Pass,36.7%,43.5%,55.5%,6.9 %,11.9 %
CHI,2,medium,Run,63.3%,56.5%,44.5%,-6.9 %,-11.9 %
CHI,2,short,Pass,25.0%,33.3%,35.1%,8.3 %,1.8 %
CHI,2,short,Run,75.0%,66.7%,64.9%,-8.3 %,-1.8 %
CHI,2,very long,Pass,45.5%,74.6%,88.1%,29.1 %,13.5 %
CHI,2,very long,Run,54.5%,25.4%,11.9%,-29.1 %,-13.5 %
CHI,3,long,Pass,64.1%,80.9%,86.7%,16.7 %,5.8 %
CHI,3,long,Run,35.9%,19.1%,13.3%,-16.7 %,-5.8 %
CHI,3,medium,Pass,67.1%,77.5%,82.9%,10.5 %,5.4 %
CHI,3,medium,Run,32.9%,22.5%,17.1%,-10.5 %,-5.4 %
CHI,3,short,Pass,23.1%,44.6%,51.9%,21.6 %,7.2 %
CHI,3,short,Run,76.9%,55.4%,48.1%,-21.6 %,-7.2 %
CHI,3,very long,Pass,81.8%,80.0%,86.8%,-1.8 %,6.8 %
CHI,3,very long,Run,18.2%,20.0%,13.2%,1.8 %,-6.8 %
CHI,4,long,Pass,100.0%,100.0%,100.0%,0.0 %,0.0 %
CHI,4,long,Run,0.0%,0.0%,0.0%,0.0 %,0.0 %
CHI,4,medium,Pass,60.0%,100.0%,80.0%,40.0 %,-20.0 %
CHI,4,medium,Run,40.0%,0.0%,20.0%,-40.0 %,20.0 %
CHI,4,short,Pass,41.7%,29.4%,63.6%,-12.3 %,34.2 %
CHI,4,short,Run,58.3%,70.6%,36.4%,12.3 %,-34.2 %
CHI,4,very long,Pass,100.0%,100.0%,100.0%,0.0 %,0.0 %
CHI,4,very long,Run,0.0%,0.0%,0.0%,0.0 %,0.0 %
CIN,1,long,Pass,57.3%,53.8%,52.2%,-3.5 %,-1.6 %
CIN,1,long,Run,42.7%,46.2%,47.8%,3.5 %,1.6 %
CIN,1,medium,Pass,39.1%,42.9%,40.0%,3.7 %,-2.9 %
