posteam,down,distance_bucket,play_type,n_plays_2022,n_plays_2023,n_plays_2024,Success Rate %_2022,Success Rate %_2023,Success Rate %_2024,Success Rate %_2022→2023 Δ,Success Rate %_2023→2024 Δ,Conversion %_2022,Conversion %_2023,Conversion %_2024,Conversion %_2022→2023 Δ,Conversion %_2023→2024 Δ
BAL,3,short,run,59.0,48.0,57.0,64.41,66.67,78.95,2.3,12.3,67.80000000000001,68.75,78.95,0.9,10.2
BAL,3,very long,pass,28.0,26.0,38.0,21.43,34.62,31.580000000000002,13.2,-3.0,14.29,23.080000000000002,18.42,8.8,-4.7
BAL,3,very long,run,6.0,13.0,3.0,50.0,38.46,0.0,-11.5,-38.5,16.669999999999998,7.6899999999999995,0.0,-9.0,-7.7
BAL,4,long,pass,1.0,,3.0,0.0,,0.0,,,0.0,,0.0,,
BAL,4,long,run,,,1.0,,,0.0,,,,,100.0,,
BAL,4,medium,pass,1.0,2.0,,0.0,50.0,,50.0,,0.0,50.0,,50.0,
BAL,4,short,pass,3.0,3.0,4.0,0.0,33.33,25.0,33.3,-8.3,0.0,33.33,25.0,33.3,-8.3
BAL,4,short,run,16.0,11.0,8.0,62.5,81.82000000000001,87.5,19.3,5.7,62.5,90.91,87.5,28.4,-3.4
BAL,4,very long,pass,2.0,1.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,
BUF,1,long,pass,272.0,242.0,185.0,47.43,54.13,44.32,6.7,-9.8,0.0,0.0,0.0,0.0,0.0
BUF,1,long,run,214.0,265.0,276.0,43.46,38.49,41.3,-5.0,2.8,0.0,0.0,0.0,0.0,0.0
BUF,1,medium,pass,9.0,3.0,9.0,55.559999999999995,33.33,33.33,-22.2,0.0,0.0,0.0,0.0,0.0,0.0
BUF,1,medium,run,10.0,10.0,14.0,40.0,40.0,92.86,0.0,52.9,0.0,0.0,0.0,0.0,0.0
BUF,1,short,pass,1.0,1.0,1.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
BUF,1,short,run,4.0,12.0,14.0,25.0,41.67,50.0,16.7,8.3,0.0,0.0,0.0,0.0,0.0
BUF,1,very long,pass,12.0,14.0,15.0,33.33,50.0,46.67,16.7,-3.3,0.0,0.0,0.0,0.0,0.0
BUF,1,very long,run,6.0,3.0,12.0,50.0,66.67,50.0,16.7,-16.7,0.0,0.0,0.0,0.0,0.0
BUF,2,long,pass,96.0,97.0,109.0,45.83,38.14,45.87,-7.7,7.7,0.0,0.0,0.0,0.0,0.0
BUF,2,long,run,54.0,35.0,41.0,42.59,42.86,34.150000000000006,0.3,-8.7,0.0,0.0,0.0,0.0,0.0
BUF,2,medium,pass,63.0,81.0,60.0,57.14,58.02,63.33,0.9,5.3,0.0,0.0,0.0,0.0,0.0
BUF,2,medium,run,48.0,75.0,66.0,47.92,58.67,43.94,10.8,-14.7,0.0,0.0,0.0,0.0,0.0
BUF,2,short,pass,37.0,20.0,16.0,64.86,65.0,75.0,0.1,10.0,0.0,0.0,0.0,0.0,0.0
BUF,2,short,run,37.0,60.0,56.0,56.76,60.0,55.36,3.2,-4.6,0.0,0.0,0.0,0.0,0.0
BUF,2,very long,pass,39.0,44.0,42.0,48.72,50.0,50.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0
BUF,2,very long,run,13.0,8.0,14.0,30.769999999999996,37.5,78.57,6.7,41.1,0.0,0.0,0.0,0.0,0.0
BUF,3,long,pass,44.0,47.0,49.0,20.45,34.04,36.730000000000004,13.6,2.7,20.45,27.66,34.69,7.2,7.0
BUF,3,long,run,6.0,8.0,6.0,66.67,62.5,16.669999999999998,-4.2,-45.8,50.0,50.0,16.669999999999998,0.0,-33.3
BUF,3,medium,pass,47.0,61.0,57.0,55.32,50.82,45.61,-4.5,-5.2,55.32,50.82,45.61,-4.5,-5.2
